Children's Hospital,Payer,Discharges,Days,Year,Color
JACKSON MEMORIAL HOSPITAL,Medicaid Managed Care,4960,32134,2017,"rgba(74, 69, 42, 1.0)"
ST JOSEPHS HOSPITAL,Medicaid Managed Care,8113,31839,2016,"rgba(85, 142, 213, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Commercial Health Insurance,9331,31218,2019,"rgba(79, 98, 40, 1.0)"
UF HEALTH SHANDS HOSPITAL,Medicaid Managed Care,4749,30574,2020,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS HOSPITAL,Medicaid Managed Care,4860,30494,2018,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS HOSPITAL,Medicaid Managed Care,4742,29784,2017,"rgba(55, 96, 146, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Medicaid Managed Care,4313,29548,2020,"rgba(147, 205, 221, 1.0)"
JACKSON MEMORIAL HOSPITAL,Medicaid Managed Care,4973,28589,2018,"rgba(74, 69, 42, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Medicaid Managed Care,3897,27909,2019,"rgba(230, 185, 184, 1.0)"
ST JOSEPHS HOSPITAL,Medicaid Managed Care,5888,27737,2019,"rgba(85, 142, 213, 1.0)"
JACKSON MEMORIAL HOSPITAL,Medicaid Managed Care,4245,27480,2019,"rgba(74, 69, 42, 1.0)"
UF HEALTH SHANDS HOSPITAL,Medicaid Managed Care,4482,27154,2016,"rgba(55, 96, 146, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Medicaid Managed Care,3834,26841,2018,"rgba(230, 185, 184, 1.0)"
ADVENTHEALTH ORLANDO,Medicaid Managed Care,3672,26264,2017,"rgba(195, 214, 155, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Medicaid Managed Care,3483,25964,2020,"rgba(230, 185, 184, 1.0)"
ADVENTHEALTH ORLANDO,Medicaid Managed Care,4105,25747,2019,"rgba(195, 214, 155, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Medicaid Managed Care,4383,25586,2016,"rgba(152, 72, 7, 1.0)"
WOLFSON CHILDREN'S HOSPITAL,Medicaid Managed Care,3867,25144,2018,"rgba(152, 72, 7, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Medicaid Managed Care,4049,25061,2017,"rgba(230, 185, 184, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Medicaid Managed Care,4100,24909,2017,"rgba(152, 72, 7, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Medicaid Managed Care,3908,24581,2016,"rgba(230, 185, 184, 1.0)"
WOLFSON CHILDREN'S HOSPITAL,Medicaid Managed Care,3457,24350,2019,"rgba(152, 72, 7, 1.0)"
ADVENTHEALTH ORLANDO,Medicaid Managed Care,4100,24339,2016,"rgba(195, 214, 155, 1.0)"
ADVENTHEALTH ORLANDO,Medicaid Managed Care,3979,24315,2020,"rgba(195, 214, 155, 1.0)"
ST JOSEPHS HOSPITAL,Commercial Health Insurance,5790,23704,2016,"rgba(85, 142, 213, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Commercial Health Insurance,3922,22654,2016,"rgba(230, 185, 184, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Commercial Health Insurance,3986,22631,2019,"rgba(230, 185, 184, 1.0)"
JACKSON MEMORIAL HOSPITAL,Medicaid Managed Care,3150,22615,2020,"rgba(74, 69, 42, 1.0)"
ADVENTHEALTH ORLANDO,Commercial Health Insurance,4537,22614,2016,"rgba(195, 214, 155, 1.0)"
ADVENTHEALTH ORLANDO,Commercial Health Insurance,3633,22422,2017,"rgba(195, 214, 155, 1.0)"
TAMPA GENERAL HOSPITAL,Medicaid Managed Care,3734,22338,2017,"rgba(89, 89, 89, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Commercial Health Insurance,4040,22309,2018,"rgba(230, 185, 184, 1.0)"
ST JOSEPHS HOSPITAL,Commercial Health Insurance,5463,22174,2018,"rgba(85, 142, 213, 1.0)"
TAMPA GENERAL HOSPITAL,Medicaid Managed Care,3776,22165,2016,"rgba(89, 89, 89, 1.0)"
ST JOSEPHS HOSPITAL,Commercial Health Insurance,5203,22138,2019,"rgba(85, 142, 213, 1.0)"
WOLFSON CHILDREN'S HOSPITAL,Medicaid Managed Care,2741,21911,2020,"rgba(152, 72, 7, 1.0)"
ADVENTHEALTH ORLANDO,Medicaid Managed Care,3354,21770,2018,"rgba(195, 214, 155, 1.0)"
TAMPA GENERAL HOSPITAL,Medicaid Managed Care,3737,21586,2018,"rgba(89, 89, 89, 1.0)"
JACKSON MEMORIAL HOSPITAL,Medicaid FFS,2668,21373,2016,"rgba(74, 69, 42, 1.0)"
TAMPA GENERAL HOSPITAL,Medicaid Managed Care,3858,21357,2019,"rgba(89, 89, 89, 1.0)"
ST JOSEPHS HOSPITAL,Commercial Health Insurance,5456,21207,2017,"rgba(85, 142, 213, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Commercial Health Insurance,4691,20835,2017,"rgba(152, 72, 7, 1.0)"
JACKSON MEMORIAL HOSPITAL,Medicaid FFS,2645,20771,2017,"rgba(74, 69, 42, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Commercial Health Insurance,4017,20448,2017,"rgba(230, 185, 184, 1.0)"
ST JOSEPHS HOSPITAL,Medicaid Managed Care,3864,20273,2020,"rgba(85, 142, 213, 1.0)"
ADVENTHEALTH ORLANDO,Commercial Health Insurance,3344,19986,2018,"rgba(195, 214, 155, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Commercial Health Insurance,3770,19696,2020,"rgba(230, 185, 184, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Commercial Health Insurance,4762,19551,2016,"rgba(152, 72, 7, 1.0)"
ST JOSEPHS HOSPITAL,Commercial Health Insurance,4381,18842,2020,"rgba(85, 142, 213, 1.0)"
WOLFSON CHILDREN'S HOSPITAL,Commercial Health Insurance,3448,18837,2018,"rgba(152, 72, 7, 1.0)"
TAMPA GENERAL HOSPITAL,Medicaid Managed Care,3617,18831,2020,"rgba(89, 89, 89, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Medicaid FFS,3205,18596,2016,"rgba(228, 108, 10, 1.0)"
WOLFSON CHILDREN'S HOSPITAL,Commercial Health Insurance,2872,18494,2019,"rgba(152, 72, 7, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Medicaid Managed Care,3687,18404,2017,"rgba(204, 193, 218, 1.0)"
ST MARY'S MEDICAL CENTER,Medicaid Managed Care,3416,18401,2018,"rgba(16, 37, 63, 1.0)"
JACKSON MEMORIAL HOSPITAL,Medicaid FFS,2542,18395,2018,"rgba(74, 69, 42, 1.0)"
ADVENTHEALTH ORLANDO,Commercial Health Insurance,3312,18387,2019,"rgba(195, 214, 155, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Commercial Health Insurance,2993,18004,2018,"rgba(147, 205, 221, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Medicaid Managed Care,3546,17937,2016,"rgba(204, 193, 218, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Commercial Health Insurance,2822,17867,2016,"rgba(147, 205, 221, 1.0)"
ST MARY'S MEDICAL CENTER,Medicaid Managed Care,3610,17466,2016,"rgba(16, 37, 63, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Medicaid Managed Care,3335,17085,2018,"rgba(204, 193, 218, 1.0)"
ST MARY'S MEDICAL CENTER,Medicaid Managed Care,3591,17007,2017,"rgba(16, 37, 63, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Commercial Health Insurance,2939,16930,2017,"rgba(147, 205, 221, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Medicaid Managed Care,3360,16622,2018,"rgba(228, 108, 10, 1.0)"
ST MARY'S MEDICAL CENTER,Medicaid Managed Care,3147,16555,2019,"rgba(16, 37, 63, 1.0)"
JACKSON MEMORIAL HOSPITAL,Medicaid FFS,2506,16539,2019,"rgba(74, 69, 42, 1.0)"
ADVENTHEALTH ORLANDO,Commercial Health Insurance,3321,16477,2020,"rgba(195, 214, 155, 1.0)"
WOLFSON CHILDREN'S HOSPITAL,Commercial Health Insurance,2299,16470,2020,"rgba(152, 72, 7, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Medicaid FFS,3135,16460,2016,"rgba(79, 98, 40, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Medicaid Managed Care,2844,16051,2019,"rgba(204, 193, 218, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Commercial Health Insurance,2597,16008,2020,"rgba(147, 205, 221, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Medicaid Managed Care,3073,15888,2019,"rgba(228, 108, 10, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Medicaid FFS,2936,15608,2018,"rgba(79, 98, 40, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Commercial Health Insurance,2819,15542,2019,"rgba(147, 205, 221, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Medicaid Managed Care,1716,15426,2020,"rgba(99, 37, 35, 1.0)"
UF HEALTH SHANDS HOSPITAL,Commercial Health Insurance,3020,14971,2019,"rgba(55, 96, 146, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Medicaid Managed Care,2052,14872,2019,"rgba(99, 37, 35, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Medicaid FFS,2723,14737,2019,"rgba(79, 98, 40, 1.0)"
UF HEALTH SHANDS HOSPITAL,Commercial Health Insurance,3219,14708,2016,"rgba(55, 96, 146, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Commercial Health Insurance,3967,14701,2016,"rgba(64, 49, 82, 1.0)"
UF HEALTH SHANDS HOSPITAL,Commercial Health Insurance,2915,14252,2018,"rgba(55, 96, 146, 1.0)"
ST MARY'S MEDICAL CENTER,Medicaid Managed Care,2699,14124,2020,"rgba(16, 37, 63, 1.0)"
UF HEALTH SHANDS HOSPITAL,Commercial Health Insurance,2664,14015,2020,"rgba(55, 96, 146, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Medicaid FFS,2598,13900,2017,"rgba(79, 98, 40, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Commercial Health Insurance,3651,13753,2019,"rgba(64, 49, 82, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Medicaid FFS,2053,13672,2017,"rgba(228, 108, 10, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Commercial Health Insurance,3734,13520,2017,"rgba(64, 49, 82, 1.0)"
JACKSON MEMORIAL HOSPITAL,Medicaid FFS,1988,13442,2020,"rgba(74, 69, 42, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Medicaid Managed Care,2294,13367,2020,"rgba(228, 108, 10, 1.0)"
UF HEALTH SHANDS HOSPITAL,Commercial Health Insurance,2983,12933,2017,"rgba(55, 96, 146, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Medicaid Managed Care,2372,12713,2020,"rgba(204, 193, 218, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Commercial Health Insurance,3569,12651,2018,"rgba(64, 49, 82, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Medicaid FFS,2210,12637,2020,"rgba(79, 98, 40, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Medicaid Managed Care,2442,11793,2017,"rgba(228, 108, 10, 1.0)"
ST MARY'S MEDICAL CENTER,Medicaid FFS,2129,11554,2019,"rgba(16, 37, 63, 1.0)"
UF HEALTH SHANDS HOSPITAL,Medicaid FFS,1641,11416,2016,"rgba(55, 96, 146, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Medicaid Managed Care,1827,11244,2018,"rgba(99, 37, 35, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Medicaid FFS,1068,11231,2016,"rgba(230, 185, 184, 1.0)"
ST MARY'S MEDICAL CENTER,Medicaid FFS,2120,11104,2018,"rgba(16, 37, 63, 1.0)"
ADVENTHEALTH ORLANDO,Medicaid FFS,1629,11087,2019,"rgba(195, 214, 155, 1.0)"
JACKSON MEMORIAL HOSPITAL,Commercial Health Insurance,1565,10773,2016,"rgba(74, 69, 42, 1.0)"
ST MARY'S MEDICAL CENTER,Medicaid FFS,1984,10767,2020,"rgba(16, 37, 63, 1.0)"
UF HEALTH SHANDS HOSPITAL,Medicaid FFS,1385,10755,2018,"rgba(55, 96, 146, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Commercial Health Insurance,2984,10677,2020,"rgba(64, 49, 82, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Medicaid FFS,958,10663,2019,"rgba(230, 185, 184, 1.0)"
TAMPA GENERAL HOSPITAL,Commercial Health Insurance,2090,10433,2017,"rgba(89, 89, 89, 1.0)"
TAMPA GENERAL HOSPITAL,Commercial Health Insurance,2265,10313,2018,"rgba(89, 89, 89, 1.0)"
ST MARY'S MEDICAL CENTER,Medicaid FFS,2004,10293,2016,"rgba(16, 37, 63, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Commercial Health Insurance,2335,10275,2016,"rgba(204, 193, 218, 1.0)"
ADVENTHEALTH ORLANDO,Medicaid FFS,1636,10129,2020,"rgba(195, 214, 155, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Commercial Health Insurance,2317,10086,2017,"rgba(204, 193, 218, 1.0)"
JACKSON MEMORIAL HOSPITAL,Commercial Health Insurance,1478,10063,2017,"rgba(74, 69, 42, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Commercial Health Insurance,2154,9948,2019,"rgba(204, 193, 218, 1.0)"
UF HEALTH SHANDS HOSPITAL,Medicaid FFS,1344,9940,2017,"rgba(55, 96, 146, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Medicaid FFS,944,9832,2018,"rgba(230, 185, 184, 1.0)"
TAMPA GENERAL HOSPITAL,Commercial Health Insurance,2300,9750,2020,"rgba(89, 89, 89, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Medicaid Managed Care,1595,9681,2017,"rgba(99, 37, 35, 1.0)"
TAMPA GENERAL HOSPITAL,Commercial Health Insurance,2139,9597,2016,"rgba(89, 89, 89, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Medicaid Managed Care,2304,9558,2016,"rgba(64, 49, 82, 1.0)"
TAMPA GENERAL HOSPITAL,Commercial Health Insurance,2391,9550,2019,"rgba(89, 89, 89, 1.0)"
TAMPA GENERAL HOSPITAL,Medicaid FFS,1791,9445,2016,"rgba(89, 89, 89, 1.0)"
JACKSON MEMORIAL HOSPITAL,Commercial Health Insurance,1610,9388,2018,"rgba(74, 69, 42, 1.0)"
ST MARY'S MEDICAL CENTER,Commercial Health Insurance,1975,9273,2017,"rgba(16, 37, 63, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Medicaid FFS,806,9206,2020,"rgba(230, 185, 184, 1.0)"
JACKSON MEMORIAL HOSPITAL,Commercial Health Insurance,1415,9168,2019,"rgba(74, 69, 42, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Commercial Health Insurance,2138,9108,2018,"rgba(204, 193, 218, 1.0)"
ST MARY'S MEDICAL CENTER,Commercial Health Insurance,1964,9086,2018,"rgba(16, 37, 63, 1.0)"
JACKSON MEMORIAL HOSPITAL,Commercial Health Insurance,1142,8925,2020,"rgba(74, 69, 42, 1.0)"
ST MARY'S MEDICAL CENTER,Medicaid FFS,1945,8855,2017,"rgba(16, 37, 63, 1.0)"
TAMPA GENERAL HOSPITAL,Medicaid FFS,1666,8719,2020,"rgba(89, 89, 89, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Medicaid FFS,928,8658,2017,"rgba(230, 185, 184, 1.0)"
ADVENTHEALTH ORLANDO,Medicaid FFS,1382,8657,2018,"rgba(195, 214, 155, 1.0)"
ADVENTHEALTH ORLANDO,Medicaid FFS,1328,8631,2017,"rgba(195, 214, 155, 1.0)"
TAMPA GENERAL HOSPITAL,Medicaid FFS,1583,8630,2019,"rgba(89, 89, 89, 1.0)"
ST MARY'S MEDICAL CENTER,Commercial Health Insurance,2085,8603,2016,"rgba(16, 37, 63, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Commercial Health Insurance,1878,8569,2020,"rgba(204, 193, 218, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Medicaid FFS,830,8500,2016,"rgba(147, 205, 221, 1.0)"
ADVENTHEALTH ORLANDO,Medicaid FFS,1150,8331,2016,"rgba(195, 214, 155, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Medicaid Managed Care,1579,8314,2016,"rgba(228, 108, 10, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Medicaid FFS,1302,8125,2018,"rgba(228, 108, 10, 1.0)"
UF HEALTH SHANDS HOSPITAL,Medicaid FFS,892,8071,2019,"rgba(55, 96, 146, 1.0)"
ST MARY'S MEDICAL CENTER,Commercial Health Insurance,1925,8033,2019,"rgba(16, 37, 63, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Medicaid Managed Care,1993,8011,2017,"rgba(64, 49, 82, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Medicaid FFS,1327,7936,2020,"rgba(228, 108, 10, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Medicaid FFS,800,7820,2018,"rgba(147, 205, 221, 1.0)"
ST MARY'S MEDICAL CENTER,Commercial Health Insurance,1702,7761,2020,"rgba(16, 37, 63, 1.0)"
TAMPA GENERAL HOSPITAL,Medicaid FFS,1505,7602,2017,"rgba(89, 89, 89, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Medicaid FFS,836,7385,2017,"rgba(147, 205, 221, 1.0)"
TAMPA GENERAL HOSPITAL,Medicaid FFS,1517,7283,2018,"rgba(89, 89, 89, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Medicaid FFS,1103,7022,2019,"rgba(228, 108, 10, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Medicaid Managed Care,1285,6884,2016,"rgba(99, 37, 35, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Medicaid FFS,772,6803,2019,"rgba(147, 205, 221, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Commercial Health Insurance,1077,6575,2018,"rgba(228, 108, 10, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Commercial Health Insurance,1059,6464,2019,"rgba(228, 108, 10, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Commercial Health Insurance,1226,6442,2016,"rgba(228, 108, 10, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Medicaid FFS,908,6422,2016,"rgba(204, 193, 218, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Medicaid FFS,978,6412,2019,"rgba(204, 193, 218, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Medicaid FFS,738,6371,2016,"rgba(152, 72, 7, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Medicaid Managed Care,1686,6326,2018,"rgba(64, 49, 82, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Commercial Health Insurance,1065,6227,2017,"rgba(228, 108, 10, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Medicaid FFS,794,6196,2020,"rgba(204, 193, 218, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Other,918,6079,2018,"rgba(230, 185, 184, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Medicaid FFS,539,6009,2020,"rgba(147, 205, 221, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Commercial Health Insurance,998,5891,2019,"rgba(99, 37, 35, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Other,897,5875,2016,"rgba(230, 185, 184, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Medicaid Managed Care,1590,5842,2019,"rgba(64, 49, 82, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Medicaid FFS,797,5757,2018,"rgba(99, 37, 35, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Commercial Health Insurance,819,5540,2020,"rgba(99, 37, 35, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Other,966,5206,2017,"rgba(230, 185, 184, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Commercial Health Insurance,1033,5194,2018,"rgba(99, 37, 35, 1.0)"
UF HEALTH SHANDS HOSPITAL,Medicaid FFS,763,5058,2020,"rgba(55, 96, 146, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Medicaid FFS,534,4912,2017,"rgba(152, 72, 7, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Commercial Health Insurance,993,4870,2017,"rgba(99, 37, 35, 1.0)"
WOLFSON CHILDREN'S HOSPITAL,Medicaid FFS,485,4794,2018,"rgba(152, 72, 7, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Commercial Health Insurance,916,4746,2020,"rgba(228, 108, 10, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Medicaid FFS,836,4626,2017,"rgba(204, 193, 218, 1.0)"
ASCENSION SACRED HEART PENSACOLA,TriCare or Other Federal Government,825,4596,2017,"rgba(204, 193, 218, 1.0)"
ST JOSEPHS HOSPITAL,Medicaid FFS,767,4509,2016,"rgba(85, 142, 213, 1.0)"
ASCENSION SACRED HEART PENSACOLA,TriCare or Other Federal Government,1113,4494,2019,"rgba(204, 193, 218, 1.0)"
ASCENSION SACRED HEART PENSACOLA,TriCare or Other Federal Government,977,4406,2018,"rgba(204, 193, 218, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Medicaid FFS,784,4357,2018,"rgba(204, 193, 218, 1.0)"
WOLFSON CHILDREN'S HOSPITAL,Medicaid FFS,390,4348,2020,"rgba(152, 72, 7, 1.0)"
ST JOSEPHS HOSPITAL,Medicaid FFS,665,4307,2018,"rgba(85, 142, 213, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,TriCare or Other Federal Government,923,4262,2016,"rgba(152, 72, 7, 1.0)"
ST JOSEPHS HOSPITAL,Medicaid FFS,531,4251,2019,"rgba(85, 142, 213, 1.0)"
ASCENSION SACRED HEART PENSACOLA,TriCare or Other Federal Government,990,4226,2020,"rgba(204, 193, 218, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Commercial Health Insurance,1559,4192,2018,"rgba(152, 72, 7, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,TriCare or Other Federal Government,977,4138,2017,"rgba(152, 72, 7, 1.0)"
WOLFSON CHILDREN'S HOSPITAL,Medicaid FFS,497,4138,2019,"rgba(152, 72, 7, 1.0)"
WOLFSON CHILDREN'S HOSPITAL,TriCare or Other Federal Government,631,4138,2020,"rgba(152, 72, 7, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Medicaid FFS,647,3973,2017,"rgba(99, 37, 35, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Medicaid Managed Care,962,3971,2020,"rgba(64, 49, 82, 1.0)"
ST JOSEPHS HOSPITAL,Medicaid FFS,632,3910,2017,"rgba(85, 142, 213, 1.0)"
ST JOSEPHS HOSPITAL,Medicaid FFS,472,3814,2020,"rgba(85, 142, 213, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Commercial Health Insurance,1498,3711,2019,"rgba(152, 72, 7, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Commercial Health Insurance,799,3706,2016,"rgba(99, 37, 35, 1.0)"
WOLFSON CHILDREN'S HOSPITAL,TriCare or Other Federal Government,786,3644,2018,"rgba(152, 72, 7, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Commercial Health Insurance,1491,3639,2020,"rgba(152, 72, 7, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Medicaid FFS,405,3625,2019,"rgba(99, 37, 35, 1.0)"
WOLFSON CHILDREN'S HOSPITAL,TriCare or Other Federal Government,609,3491,2019,"rgba(152, 72, 7, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Other State/Local Government,588,3437,2020,"rgba(204, 193, 218, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Medicaid Managed Care,500,3428,2018,"rgba(85, 142, 213, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Other,380,3409,2017,"rgba(147, 205, 221, 1.0)"
ASCENSION SACRED HEART PENSACOLA,TriCare or Other Federal Government,789,3397,2016,"rgba(204, 193, 218, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Self Pay,928,3304,2016,"rgba(228, 108, 10, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Other State/Local Government,550,3283,2019,"rgba(204, 193, 218, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Medicaid Managed Care,577,3236,2016,"rgba(85, 142, 213, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Self Pay,1032,3165,2018,"rgba(230, 185, 184, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Medicaid Managed Care,436,3155,2019,"rgba(85, 142, 213, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Medicaid Managed Care,537,3123,2017,"rgba(85, 142, 213, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Medicaid Managed Care,367,2985,2020,"rgba(85, 142, 213, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Other,212,2942,2020,"rgba(147, 205, 221, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Medicaid FFS,508,2917,2016,"rgba(99, 37, 35, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Non-Payment,831,2912,2019,"rgba(228, 108, 10, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Self Pay,1074,2907,2017,"rgba(230, 185, 184, 1.0)"
